mint_address,min_ratio,manipulated,return_ratio,label
DKGqCGgD3EkzNtPT9c7ePrEnrDDGRujBfJvNDGHBpump,0.10012842088594,unknown,-0.6663484035964322,high
Bp2q1o7FJhtUQbgcBMPfFM4x7qYNoYGoRWwhegzBpump,0.18188748559140563,unknown,-0.6923722404395324,high
AT8PKdYWrz4D9BvNLvYer6rRgyH4TPqyvdHYQt2ppump,0.16201110807924693,no,-0.629930073410981,high
7fPz8ZHeaBU3JqByzg1pYnDEG2bxyx979xTFjfspump,0.053485017968758354,yes,-0.49862274366673304,high
14B3iUtbyLuhhrch6fYK4UE6WfWSHPFjDwJgNDUgqpg,0.0466482299267447,yes,-0.8988261208849689,high
7tvhuv25PMsU75dEMomx5pgiqbJYmucVoNAsVwEgpump,0.136910821949886,no,-0.8101694037619619,high
4G8Lro6vLGngLwvq5KsC3rarGsEmaqqzQyUVXJNwpump,0.05037692045149002,yes,-0.9725098972594683,high
CKx3dXmhLksm3tD3tTovb3HhBsqHX1UWgqQGdRPm9aTF,0.04724285498178854,unknown,-0.858884398482411,high
CKisiKP7G9ZbmyrJF3aSJYAifxMCJ8JPRL8eBrc4pump,0.599142254580478,no,1.0121334026251025,medium
HBM2PUNkKfvw8JCirbhvwwFX9yceLd6BuyAP4xvjpump,0.03882780220566218,yes,-0.9625616493273204,high
9mjcSYWF4FsLphT8aK8oEjNmkFN2dvtXWn92V99Lpump,0.08521338235196367,no,-0.825147928781436,high
D4FrTpuUCc8MmNVaZ7hfgv4MPSfNtTEMdScQve7Lpump,0.4444603343222436,no,0.08563842279638065,medium
ti1AicEoKpi5e8Jdi2EV43piqAzzFwvH8AC3X9LiuKt,0.2808697085833368,yes,2.4600892894017896,high
32D413UPMA8wKpFTw8wzmsGm9eNcys9ys5QjA3EBpump,0.20574663110710203,no,-0.5832787922091456,high
Hth6FMsnoGAfCY887czLk3jsxk9LcczZrM6ecWN1pump,0.049584662641459845,yes,-0.40614827312013674,high
